,Neighborhood,Exter Qual,Kitchen Qual,Garage Qual,Fireplace Qu,Bsmt Qual,Heating QC,Garage Finish,Overall Qual,House Style
627,NAmes,TA,Gd,TA,Gd,Gd,TA,Fin,6,2Story
628,NAmes,TA,TA,TA,TA,Fa,Gd,RFn,6,1Story
629,NAmes,TA,TA,TA,Gd,TA,Gd,Unf,4,1.5Fin
631,NAmes,TA,TA,TA,Gd,TA,Gd,RFn,6,1Story
632,NAmes,TA,TA,TA,Gd,TA,Gd,Unf,7,1Story
634,NAmes,TA,TA,TA,Gd,TA,Gd,RFn,6,1Story
638,NAmes,TA,TA,TA,Gd,TA,TA,Unf,4,1Story
639,NAmes,TA,TA,TA,TA,TA,TA,Unf,6,SLvl
640,NAmes,TA,TA,TA,TA,TA,Gd,Fin,5,1Story
645,NAmes,TA,Fa,Fa,TA,TA,TA,Unf,4,1Story
646,NAmes,Gd,TA,TA,TA,TA,Ex,Unf,5,1Story
651,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,7,2Story
653,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,6,1Story
660,OldTown,TA,Gd,TA,TA,TA,TA,Unf,4,1.5Fin
668,NAmes,Fa,TA,TA,Po,TA,Gd,RFn,6,1Story
673,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,6,1Story
674,NAmes,TA,TA,TA,Gd,Gd,Fa,RFn,6,1Story
675,NAmes,Gd,TA,TA,Gd,TA,Gd,Unf,5,1Story
689,NAmes,TA,TA,TA,Fa,TA,TA,RFn,6,1Story
698,OldTown,TA,TA,TA,Gd,TA,TA,Unf,5,2Story
702,OldTown,TA,TA,TA,Gd,TA,Gd,Unf,7,2Story
716,OldTown,Gd,Gd,TA,Gd,TA,TA,Unf,7,2Story
718,OldTown,TA,Ex,TA,Gd,TA,Ex,Unf,6,2Story
719,OldTown,Gd,Gd,TA,Gd,TA,Gd,Unf,8,2Story
728,BrkSide,TA,Gd,TA,TA,TA,Ex,RFn,5,2Story
729,BrkSide,TA,Gd,Fa,Gd,TA,TA,Unf,6,1Story
731,BrkSide,TA,TA,TA,Gd,TA,Ex,Unf,5,1.5Fin
732,BrkSide,TA,Fa,Fa,Gd,TA,Fa,Unf,6,1.5Unf
735,BrkSide,TA,TA,TA,Fa,TA,Ex,Unf,5,1.5Fin
736,BrkSide,TA,TA,TA,Gd,TA,Ex,Unf,6,1.5Fin
745,BrkSide,TA,TA,Fa,Gd,TA,TA,Unf,5,1.5Fin
750,OldTown,Gd,Ex,Fa,Gd,TA,Ex,Unf,7,2Story
768,Sawyer,TA,TA,TA,TA,Gd,Ex,RFn,5,SLvl
770,Sawyer,TA,TA,TA,TA,TA,Gd,RFn,6,2Story
771,Sawyer,TA,TA,TA,Po,TA,TA,Fin,5,1Story
773,Sawyer,TA,TA,TA,Fa,Gd,TA,Fin,6,SFoyer
776,Sawyer,TA,TA,TA,Po,TA,TA,Unf,5,1Story
777,Sawyer,TA,TA,TA,TA,TA,TA,Unf,5,SLvl
778,Sawyer,TA,TA,TA,TA,TA,Ex,RFn,6,SLvl
779,ClearCr,TA,TA,TA,TA,TA,Ex,Unf,5,SLvl
781,ClearCr,TA,TA,TA,TA,TA,Ex,Unf,4,1.5Fin
782,ClearCr,TA,Ex,TA,Gd,TA,Ex,Unf,5,1Story
785,ClearCr,Gd,TA,TA,Gd,TA,Ex,Fin,5,1Story
788,Edwards,TA,TA,TA,Gd,TA,Fa,Unf,6,1Story
791,Edwards,TA,Gd,TA,Gd,TA,Ex,Unf,6,2Story
793,Edwards,TA,TA,TA,Gd,Gd,TA,RFn,5,1Story
796,Edwards,TA,TA,TA,Gd,TA,Gd,Unf,5,1.5Fin
798,Edwards,TA,TA,Fa,Gd,TA,TA,Unf,4,2Story
800,SawyerW,Gd,Gd,TA,Po,Gd,Gd,Unf,6,SLvl
801,SawyerW,Gd,Gd,Gd,Gd,Gd,Ex,Fin,8,1.5Fin
802,SawyerW,Gd,Gd,TA,TA,Gd,Gd,RFn,7,1Story
803,SawyerW,Gd,Gd,TA,TA,Gd,Ex,Unf,7,2Story
804,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
805,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
808,SawyerW,TA,TA,TA,TA,Gd,TA,Unf,5,SFoyer
813,SawyerW,TA,Gd,TA,TA,Gd,TA,Unf,5,SFoyer
815,SawyerW,TA,TA,TA,TA,Ex,Ex,Fin,7,2Story
816,SawyerW,TA,TA,TA,TA,Ex,Ex,Fin,7,2Story
817,SawyerW,TA,TA,TA,TA,Ex,Ex,Fin,7,2Story
818,CollgCr,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
819,CollgCr,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
820,CollgCr,Gd,Ex,TA,Gd,Ex,Ex,RFn,8,1Story
821,CollgCr,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
822,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
824,CollgCr,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
826,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
827,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
830,CollgCr,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
831,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
832,SawyerW,Gd,Gd,TA,TA,Gd,Gd,Fin,7,SLvl
833,ClearCr,Gd,Gd,TA,TA,Gd,Gd,Unf,7,2Story
838,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
845,CollgCr,TA,TA,TA,TA,Gd,Ex,RFn,6,2Story
851,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
858,CollgCr,TA,TA,TA,Fa,TA,Ex,Unf,5,1Story
863,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
864,CollgCr,Gd,Ex,TA,TA,Gd,Ex,RFn,8,1Story
865,CollgCr,Gd,Ex,TA,TA,Gd,Ex,RFn,8,2Story
866,CollgCr,Gd,Ex,TA,Ex,Ex,Ex,Fin,9,2Story
869,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
870,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,7,1Story
871,CollgCr,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
872,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Unf,7,1Story
874,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
876,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Unf,7,1Story
879,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
883,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
886,Edwards,TA,TA,Fa,Gd,TA,Ex,Unf,4,1Story
890,Edwards,TA,TA,TA,Fa,TA,Ex,Unf,6,SLvl
891,Edwards,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
900,Edwards,TA,TA,TA,TA,TA,Ex,Unf,5,1Story
903,Edwards,TA,TA,TA,Gd,TA,Ex,Unf,5,1.5Fin
905,SWISU,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
908,SWISU,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
909,SWISU,TA,TA,TA,TA,TA,Ex,Fin,7,2.5Fin
910,SWISU,TA,TA,Fa,Gd,TA,Gd,Unf,6,2Story
911,SWISU,TA,Gd,TA,TA,TA,TA,Unf,4,1.5Fin
912,Crawfor,Gd,Gd,TA,Gd,TA,Ex,Unf,6,1Story
913,SWISU,TA,Gd,Fa,Gd,TA,Ex,Unf,6,1.5Fin
915,Crawfor,TA,TA,Fa,TA,TA,Gd,Unf,6,1.5Fin
916,SWISU,TA,TA,TA,Gd,TA,Gd,Unf,7,1.5Fin
917,Crawfor,TA,TA,Fa,Gd,TA,Ex,Unf,7,2Story
918,Crawfor,Gd,Gd,TA,Gd,Gd,Ex,Unf,7,2Story
919,Crawfor,TA,TA,TA,TA,TA,Ex,Unf,5,1.5Fin
920,Crawfor,TA,Gd,TA,Gd,TA,Fa,Unf,6,2Story
921,Crawfor,Gd,TA,TA,TA,TA,Ex,Unf,5,1.5Fin
924,Crawfor,TA,TA,Fa,Gd,TA,Ex,Unf,5,1.5Fin
925,Crawfor,TA,TA,TA,Gd,TA,Ex,Unf,7,2.5Unf
926,Crawfor,TA,TA,TA,Gd,TA,Ex,Unf,5,1Story
927,Crawfor,TA,Fa,TA,Gd,TA,Ex,Unf,7,2Story
928,Crawfor,TA,TA,TA,Gd,TA,TA,Fin,6,1Story
929,Crawfor,TA,Fa,TA,TA,TA,Fa,Unf,5,1.5Fin
930,Crawfor,TA,Gd,TA,Gd,TA,Ex,Unf,6,1Story
931,Crawfor,TA,TA,TA,Gd,TA,Ex,Unf,6,1Story
932,Blueste,TA,TA,TA,TA,TA,TA,Unf,6,2Story
933,Blueste,TA,Gd,TA,TA,Gd,TA,Fin,6,2Story
934,Blueste,TA,TA,TA,TA,Gd,TA,Fin,6,2Story
935,Blueste,TA,TA,TA,TA,Gd,TA,Fin,6,2Story
936,Crawfor,TA,TA,TA,TA,TA,Gd,Fin,6,SLvl
937,Crawfor,Gd,Ex,TA,Gd,Gd,TA,Fin,7,1Story
938,Crawfor,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,1Story
944,Crawfor,Ex,Ex,TA,Gd,Ex,Ex,Fin,8,1Story
946,Mitchel,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
947,Mitchel,Gd,Gd,TA,Ex,Ex,Ex,RFn,7,1.5Fin
948,Mitchel,Gd,Gd,TA,Gd,Ex,Ex,Fin,7,1Story
949,Mitchel,TA,Gd,TA,TA,Ex,Ex,Fin,6,2Story
950,Mitchel,TA,TA,TA,TA,TA,Ex,Unf,6,SFoyer
951,Mitchel,TA,TA,TA,Fa,Gd,TA,RFn,6,SFoyer
955,Timber,TA,Gd,TA,Gd,TA,Gd,RFn,6,SLvl
956,Timber,TA,TA,TA,Gd,Gd,TA,RFn,7,1Story
957,Timber,Gd,Ex,TA,Ex,Ex,Ex,Fin,9,1Story
959,Timber,Ex,Ex,TA,Ex,Ex,Ex,Fin,9,1Story
962,Timber,TA,Gd,TA,TA,Gd,TA,Unf,6,1Story
963,Timber,TA,Gd,TA,TA,Gd,Ex,Fin,6,2Story
964,Timber,TA,Gd,TA,Fa,Gd,Ex,Fin,7,SLvl
967,Timber,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
968,Timber,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
976,Mitchel,TA,TA,TA,Po,TA,Ex,Unf,5,1Story
982,Mitchel,TA,Gd,TA,TA,Gd,Ex,Fin,5,SFoyer
984,Mitchel,TA,TA,TA,Fa,Gd,TA,Unf,5,SFoyer
987,Mitchel,TA,Gd,TA,TA,TA,TA,RFn,6,1Story
988,Mitchel,Gd,TA,TA,TA,TA,Ex,RFn,5,2Story
989,NAmes,Ex,TA,TA,TA,Gd,Ex,Unf,6,1Story
990,NAmes,TA,TA,TA,Gd,TA,Ex,Fin,6,1Story
991,NAmes,TA,TA,TA,Gd,Fa,TA,Unf,6,2Story
992,Gilbert,TA,TA,TA,TA,TA,Ex,Fin,6,2Story
993,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
995,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
996,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
998,Gilbert,TA,TA,TA,TA,Gd,Ex,Unf,7,2Story
999,StoneBr,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,1Story
1000,StoneBr,Gd,Gd,TA,TA,Ex,Ex,Fin,8,1Story
1001,StoneBr,Gd,Gd,TA,TA,Gd,Gd,RFn,8,1Story
1003,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
1004,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
1005,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
1006,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
1008,StoneBr,Gd,Gd,TA,Gd,Gd,Gd,Fin,8,1Story
1009,StoneBr,Gd,Gd,TA,TA,Gd,Gd,RFn,8,1Story
1010,StoneBr,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1011,StoneBr,Gd,Ex,TA,Gd,Gd,Ex,Fin,9,2Story
1012,StoneBr,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1013,Gilbert,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
1014,StoneBr,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
1015,Gilbert,TA,TA,TA,TA,TA,Gd,RFn,6,1Story
1016,NWAmes,TA,TA,TA,TA,Gd,Gd,Fin,7,2Story
1017,NWAmes,Gd,Ex,TA,Ex,Gd,Ex,RFn,7,1Story
1018,NWAmes,TA,Gd,TA,TA,Gd,TA,Fin,6,1Story
1020,NWAmes,Gd,Gd,TA,Fa,Gd,TA,Fin,7,1Story
1021,NWAmes,Gd,Gd,TA,TA,Gd,TA,Fin,7,1Story
1022,NWAmes,TA,TA,TA,TA,Gd,TA,Fin,6,2Story
1023,NWAmes,TA,Gd,TA,Po,Gd,TA,Fin,6,1Story
1025,NWAmes,TA,TA,TA,TA,Gd,TA,Unf,7,2Story
1027,NWAmes,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1028,NWAmes,TA,TA,TA,TA,Gd,TA,Fin,6,1Story
1029,NWAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
1030,NWAmes,TA,TA,TA,Gd,TA,TA,RFn,7,2Story
1031,NWAmes,TA,Gd,TA,Fa,Gd,Gd,Unf,5,1Story
1032,NWAmes,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
1050,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,8,1Story
1051,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,Fin,10,2Story
1052,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
1053,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
1055,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
1056,NridgHt,Gd,Ex,TA,Ex,Ex,Ex,Fin,8,1Story
1057,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1058,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
1059,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,Fin,10,2Story
1060,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
1061,NridgHt,Ex,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
1062,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1063,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
1064,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
1065,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,2Story
1066,NridgHt,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
1067,NridgHt,Gd,Gd,TA,TA,Ex,Ex,Fin,8,2Story
1068,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,2Story
1069,NridgHt,Ex,Ex,TA,Gd,Gd,Ex,Fin,9,1Story
1070,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1071,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1072,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,8,1Story
1073,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,RFn,9,1Story
1074,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
1075,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1076,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1079,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1080,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,Fin,7,1Story
1081,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
1082,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
1083,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
1084,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
1085,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
1086,Gilbert,TA,TA,TA,TA,TA,Ex,Fin,6,2Story
1089,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1090,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1091,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1092,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
1093,Gilbert,Gd,TA,TA,TA,Gd,Ex,RFn,7,2Story
1094,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1095,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1096,Gilbert,Gd,TA,TA,TA,Gd,Ex,Fin,7,2Story
1097,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,7,2Story
1098,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2.5Unf
1099,NoRidge,Gd,Gd,TA,TA,Gd,Gd,Fin,8,2Story
1100,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
1101,NoRidge,Gd,Ex,TA,TA,Ex,Ex,RFn,9,2Story
1102,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
1103,NoRidge,Gd,Gd,TA,TA,Ex,Ex,RFn,7,2Story
1104,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
1105,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
1106,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1107,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1108,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1109,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
1111,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
1112,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1113,Somerst,Gd,Gd,TA,Gd,Ex,Gd,Unf,7,1Story
1114,Somerst,Gd,Ex,TA,Gd,Gd,Ex,Fin,9,1Story
1115,Somerst,TA,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1117,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
1118,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
1119,Somerst,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
1124,Somerst,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,2Story
1125,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1126,Somerst,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1128,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1141,SawyerW,TA,Gd,TA,Fa,Gd,Ex,RFn,6,1Story
1147,SawyerW,Gd,Gd,TA,Fa,Gd,Ex,RFn,6,1Story
1149,Sawyer,TA,TA,TA,TA,TA,TA,RFn,5,1Story
1151,Sawyer,TA,Gd,TA,TA,TA,Ex,Unf,5,1Story
1155,Veenker,TA,TA,TA,TA,TA,TA,Unf,6,1Story
1156,Sawyer,TA,TA,TA,Gd,Gd,TA,Unf,5,1.5Fin
1157,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,2Story
1158,NoRidge,Gd,Gd,TA,Ex,Gd,Ex,Fin,9,1.5Fin
1167,Somerst,Gd,Ex,TA,TA,Gd,Ex,Fin,9,1Story
1168,Somerst,Gd,Gd,TA,TA,Ex,Ex,RFn,9,1Story
1169,Somerst,Gd,Ex,TA,TA,Ex,Ex,Fin,9,1Story
1170,Somerst,Gd,Ex,TA,TA,Gd,Ex,RFn,9,1Story
1171,Somerst,Gd,Gd,TA,TA,Ex,Ex,Fin,9,1Story
1174,Somerst,TA,TA,TA,TA,TA,Ex,Fin,7,2Story
1177,Somerst,Ex,Ex,TA,TA,Gd,Ex,Fin,10,2Story
1178,Veenker,Gd,Ex,TA,Gd,Gd,Ex,Fin,8,1Story
1179,Veenker,Gd,Gd,TA,Fa,Gd,Ex,Fin,8,1Story
1180,Veenker,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1182,Veenker,Gd,Gd,TA,Gd,Gd,TA,RFn,9,2Story
1183,Veenker,Ex,Ex,TA,Gd,Gd,Ex,RFn,8,1Story
1184,Somerst,Gd,TA,TA,TA,Gd,Ex,RFn,7,2Story
1185,NWAmes,TA,TA,TA,Gd,TA,Gd,Unf,7,1Story
1187,NWAmes,TA,TA,TA,TA,TA,Fa,RFn,6,1Story
1189,NWAmes,TA,Gd,TA,Gd,TA,Ex,Unf,7,1Story
1191,NWAmes,TA,TA,TA,TA,TA,TA,RFn,6,2Story
1199,NWAmes,Ex,Gd,TA,TA,TA,Ex,Fin,8,2Story
1200,NWAmes,Gd,Gd,Gd,TA,TA,TA,RFn,6,2Story
1203,NWAmes,TA,TA,TA,Gd,TA,Gd,RFn,7,2Story
1208,NAmes,TA,TA,TA,Gd,TA,Gd,RFn,6,1Story
1210,NAmes,TA,TA,TA,Gd,TA,TA,RFn,6,1Story
1212,NAmes,TA,Gd,TA,Gd,TA,Gd,RFn,5,SLvl
1217,NAmes,TA,TA,TA,Po,TA,TA,RFn,4,1Story
1221,BrkSide,TA,TA,Gd,TA,TA,Ex,RFn,5,1.5Unf
1225,NAmes,TA,Gd,TA,Gd,TA,Gd,RFn,5,1Story
1226,NAmes,TA,Gd,TA,TA,TA,Gd,RFn,6,SLvl
1228,NAmes,TA,Gd,TA,Gd,TA,TA,Unf,7,2Story
1229,NAmes,TA,TA,TA,TA,TA,TA,Unf,6,1Story
1231,NAmes,Gd,Gd,TA,Gd,TA,TA,RFn,6,1Story
1232,NAmes,TA,TA,TA,Gd,Gd,Gd,RFn,6,SLvl
1233,NAmes,Gd,Gd,TA,Gd,TA,Ex,RFn,6,2Story
1237,NAmes,TA,TA,TA,Gd,TA,TA,RFn,5,1Story
1239,NAmes,TA,TA,TA,TA,TA,Ex,RFn,6,1Story
1240,NAmes,TA,TA,TA,TA,TA,Ex,RFn,6,1Story
1241,NAmes,TA,TA,TA,Gd,Gd,Gd,RFn,6,1Story
1242,NAmes,TA,TA,TA,Gd,TA,TA,RFn,6,1Story
1248,NAmes,TA,TA,TA,Gd,TA,TA,Fin,6,1Story
1256,NAmes,TA,TA,TA,TA,TA,TA,Unf,5,1.5Fin
1258,OldTown,TA,TA,Fa,Gd,TA,Ex,Unf,5,1.5Fin
1260,NAmes,TA,TA,TA,Gd,TA,Ex,Fin,6,2Story
1261,NAmes,TA,TA,TA,Fa,TA,TA,Fin,5,1Story
1262,NAmes,TA,TA,TA,Gd,TA,Ex,RFn,7,1Story
1263,NAmes,TA,TA,TA,Fa,TA,TA,RFn,6,1Story
1265,NAmes,TA,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1267,NAmes,TA,TA,TA,TA,Fa,TA,Unf,5,1Story
1272,NAmes,TA,TA,TA,Fa,TA,TA,Unf,5,1Story
1280,NAmes,TA,TA,TA,TA,TA,TA,RFn,6,2Story
1285,OldTown,TA,Gd,Gd,Po,TA,Gd,Unf,5,2Story
1288,OldTown,Gd,TA,Fa,TA,Gd,Ex,Unf,6,1.5Fin
1294,OldTown,Fa,Ex,Fa,Gd,TA,Gd,Unf,5,1.5Fin
1296,OldTown,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
1301,OldTown,TA,TA,TA,Po,TA,Ex,Unf,5,1.5Fin
1306,OldTown,TA,Gd,TA,Ex,TA,Ex,Unf,7,2.5Fin
1308,OldTown,TA,TA,TA,Gd,TA,Gd,Unf,5,1.5Fin
1313,OldTown,TA,TA,Fa,Gd,Gd,Fa,Unf,6,2.5Unf
1315,OldTown,TA,Gd,TA,Gd,TA,Ex,Unf,7,2Story
1316,OldTown,TA,TA,Gd,TA,Fa,Ex,Unf,6,1.5Fin
1319,OldTown,TA,TA,TA,Gd,TA,TA,Unf,7,1.5Fin
1320,OldTown,Ex,Gd,Gd,Gd,TA,Gd,Unf,10,2.5Unf
1322,OldTown,TA,TA,TA,Gd,TA,Gd,Unf,7,2Story
1327,BrkSide,Gd,TA,TA,Po,TA,TA,Unf,5,1Story
1330,BrkSide,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
1334,BrkSide,TA,Gd,TA,Gd,TA,Ex,Unf,6,1.5Fin
1335,BrkSide,TA,TA,TA,Fa,TA,Ex,Unf,5,1Story
1336,BrkSide,TA,TA,TA,Gd,TA,TA,RFn,6,1.5Fin
1338,BrkSide,TA,TA,TA,Gd,TA,Ex,Unf,6,1.5Fin
1340,BrkSide,TA,TA,Fa,Gd,TA,TA,RFn,5,1.5Fin
1344,BrkSide,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
1345,BrkSide,TA,TA,TA,Gd,TA,TA,Unf,7,1.5Fin
1347,OldTown,TA,TA,Fa,TA,TA,Gd,Unf,7,1.5Fin
1351,BrkSide,TA,Gd,TA,Gd,TA,Gd,Unf,6,1.5Fin
1357,OldTown,TA,Gd,TA,Gd,TA,Fa,Unf,8,2Story
1361,IDOTRR,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
1364,IDOTRR,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
1372,Sawyer,TA,TA,TA,TA,TA,Ex,Unf,5,1Story
1373,Sawyer,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
1378,Sawyer,TA,TA,TA,Fa,TA,TA,Unf,6,SLvl
1382,Sawyer,TA,TA,TA,Po,Gd,Ex,Fin,6,SFoyer
1390,Sawyer,TA,TA,TA,TA,TA,TA,Unf,6,1Story
1391,Sawyer,TA,TA,TA,Gd,Gd,TA,Unf,5,1Story
1392,ClearCr,TA,TA,TA,Gd,Gd,Gd,RFn,6,1Story
1395,ClearCr,TA,TA,TA,TA,TA,Gd,Unf,5,1Story
1398,ClearCr,TA,Gd,TA,Gd,Gd,Ex,Unf,6,1Story
1399,ClearCr,TA,TA,TA,TA,Gd,Ex,Fin,7,2Story
1400,ClearCr,TA,TA,TA,Gd,Gd,TA,Fin,7,1Story
1401,ClearCr,TA,TA,TA,TA,Gd,Ex,Unf,7,1Story
1402,ClearCr,TA,Gd,TA,Gd,Gd,Ex,Fin,4,1Story
1403,Edwards,TA,Ex,TA,Gd,TA,Gd,RFn,6,SLvl
1404,Edwards,TA,TA,TA,Gd,TA,TA,Unf,7,1.5Fin
1405,Edwards,TA,TA,TA,Gd,TA,Ex,RFn,6,1Story
1406,ClearCr,TA,TA,Fa,Gd,TA,TA,Unf,6,1.5Fin
1408,Edwards,TA,TA,TA,Gd,Gd,Ex,Fin,6,1.5Fin
1409,Edwards,TA,Gd,TA,TA,TA,Ex,Unf,6,2Story
1410,Edwards,TA,Gd,TA,TA,TA,TA,Unf,5,1Story
1418,SawyerW,TA,Gd,TA,Ex,Gd,Ex,Unf,7,2Story
